Issue ID,Type,Title,Status,Priority,Epic,Capability,Labels,Dependencies,Acceptance Criteria
SC-01.1.1,story,"Add exchange-node.schema.json",todo,P0,"SC-01 Federation Contracts","SC-01.1 Core federation schemas","foundation, contracts, shared, wave:1","","- schema file exists under federation-contracts/src/schemas
- schema compiles with AJV
- schema title is ExchangeNode"
SC-01.1.2,story,"Add capability-publication.schema.json",todo,P0,"SC-01 Federation Contracts","SC-01.1 Core federation schemas","foundation, contracts, shared, wave:1","","- schema file exists under federation-contracts/src/schemas
- schema compiles with AJV
- schema title is CapabilityPublication"
SC-01.1.3,story,"Add assignment-contract.schema.json",todo,P0,"SC-01 Federation Contracts","SC-01.1 Core federation schemas","foundation, contracts, shared, wave:1","","- schema file exists under federation-contracts/src/schemas
- schema compiles with AJV
- schema title is AssignmentContract"
SC-01.2.1,story,"Add ExchangeNode type",todo,P0,"SC-01 Federation Contracts","SC-01.2 Core federation types","foundation, contracts, shared, wave:1","SC-01.1.1","- type exported from federation-contracts/src/index.ts
- type aligns with exchange-node schema fields"
SC-01.2.2,story,"Add CapabilityPublication type",todo,P0,"SC-01 Federation Contracts","SC-01.2 Core federation types","foundation, contracts, shared, wave:1","SC-01.1.2","- type exported from federation-contracts/src/index.ts
- type aligns with capability-publication schema fields"
SC-01.2.3,story,"Add AssignmentContract type",todo,P0,"SC-01 Federation Contracts","SC-01.2 Core federation types","foundation, contracts, shared, wave:1","SC-01.1.3","- type exported from federation-contracts/src/index.ts
- type aligns with assignment-contract schema fields"
SC-01.3.1,story,"Implement validateFederationContractSet",todo,P1,"SC-01 Federation Contracts","SC-01.3 Federation validators","foundation, contracts, shared, wave:1","SC-01.1.1, SC-01.1.2, SC-01.1.3","- validator returns valid or invalid deterministically
- invalid non-object input fails safely
- validator exported from index"
SC-01.3.2,story,"Add federation schema load tests",todo,P1,"SC-01 Federation Contracts","SC-01.3 Federation validators","foundation, contracts, shared, wave:1","SC-01.1.1, SC-01.1.2, SC-01.1.3","- tests load all federation schemas
- tests pass in vitest"
SC-02.1.1,story,"Add governance-assertion.schema.json",todo,P0,"SC-02 Governance Contracts","SC-02.1 Governance assertion","foundation, contracts, shared, wave:1","","- schema exists and validates
- schema title is GovernanceAssertion"
SC-02.1.2,story,"Add GovernanceAssertion type",todo,P0,"SC-02 Governance Contracts","SC-02.1 Governance assertion","foundation, contracts, shared, wave:1","SC-02.1.1","- type exported from governance-contracts
- type aligns with governance assertion schema"
SC-03.1.1,story,"Add evidence-envelope.schema.json",todo,P0,"SC-03 Evidence Contracts","SC-03.1 Evidence envelope","foundation, contracts, shared, wave:1","","- schema exists and validates
- schema title is EvidenceEnvelope"
SC-03.1.2,story,"Add EvidenceEnvelope type",todo,P0,"SC-03 Evidence Contracts","SC-03.1 Evidence envelope","foundation, contracts, shared, wave:1","SC-03.1.1","- type exported from evidence-contracts
- type aligns with evidence envelope schema"
SC-04.1.1,story,"Add trust-record.schema.json",todo,P0,"SC-04 Trust Contracts","SC-04.1 Trust record","foundation, contracts, shared, wave:1","","- schema exists and validates
- schema title is TrustRecord"
SC-04.1.2,story,"Add TrustRecord type",todo,P0,"SC-04 Trust Contracts","SC-04.1 Trust record","foundation, contracts, shared, wave:1","SC-04.1.1","- type exported from trust-contracts
- type aligns with trust record schema"
SC-05.1.1,story,"Add contract family version markers",todo,P1,"SC-05 Contract Governance","SC-05.1 Versioning","foundation, contracts, shared, wave:1","SC-01.2.1, SC-02.1.2, SC-03.1.2, SC-04.1.2","- version constant present per family
- version exported publicly"
SC-05.1.2,story,"Add schema duplication checks",todo,P1,"SC-05 Contract Governance","SC-05.1 Versioning","foundation, contracts, shared, wave:1","","- check-schema-duplication script runs
- duplicate authoritative schemas can be detected"
SC-05.1.3,story,"Add cross-family compatibility tests",todo,P2,"SC-05 Contract Governance","SC-05.1 Versioning","foundation, contracts, shared, wave:1","SC-01.3.2, SC-02.1.2, SC-03.1.2, SC-04.1.2","- compatibility suite exists at repo level
- contract families load together without failure"
